"Name","Start","End","Duration","Process"
"打造一个window桌面应用：在线聊天对话机器人 - 知乎 和另外 8 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:36:13.0000000","2022-12-20T21:36:29.0000000","0:00:16","Microsoft Edge"
"windows 上面的对话AI语音聊天 - 搜索 和另外 6 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:36:29.0000000","2022-12-20T21:36:41.0000000","0:00:12","Microsoft Edge"
"小爱同学 UWP - 搜索 和另外 7 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:36:41.0000000","2022-12-20T21:36:48.0000000","0:00:07","Microsoft Edge"
"小爱同学 win10 UWP版 下载 离线安装包 - 哔哩哔哩 和另外 8 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:36:48.0000000","2022-12-20T21:37:13.0000000","0:00:25","Microsoft Edge"
"任务切换","2022-12-20T21:37:13.0000000","2022-12-20T21:37:18.0000000","0:00:05","Windows 资源管理器"
"搜索","2022-12-20T21:37:18.0000000","2022-12-20T21:37:40.0000000","0:00:22","Microsoft® Windows® Operating System"
"Cortana 可以怎么玩？ - 知乎 和另外 9 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:37:40.0000000","2022-12-20T21:37:53.0000000","0:00:13","Microsoft Edge"
"(1 封私信 / 80 条消息) Cortana 可以怎么玩？ - 知乎 和另外 9 个页面 - 个人 - Microsoft​ Edge","2022-12-20T21:37:53.0000000","2022-12-20T21:38:23.0000000","0:00:30","Microsoft Edge"
"钉钉","2022-12-20T21:38:23.0000000","2022-12-20T21:41:05.0000000","0:02:42","DingTalk"
"此电脑","2022-12-20T23:13:02.0000000","2022-12-20T23:13:08.0000000","0:00:06","Windows 资源管理器"
"搜索","2022-12-20T23:13:08.0000000","2022-12-20T23:13:14.0000000","0:00:06","Microsoft® Windows® Operating System"
"开始","2022-12-20T23:13:14.0000000","2022-12-20T23:13:19.0000000","0:00:05","Windows Start Experience Host"
"Programs","2022-12-20T23:13:19.0000000","2022-12-20T23:13:24.0000000","0:00:05","Windows 资源管理器"
"Windows 资源管理器","2022-12-20T23:13:24.0000000","2022-12-20T23:13:32.0000000","0:00:08","Windows 资源管理器"
"任务管理器","2022-12-20T23:13:32.0000000","2022-12-20T23:13:51.0000000","0:00:19","任务管理器"
"搜索","2022-12-20T23:13:51.0000000","2022-12-20T23:14:00.0000000","0:00:09","Microsoft® Windows® Operating System"
"https://cn.bing.com/WS/redirect/?q=启动项位置&url=aHR0cHM6Ly9qaW5neWFuLmJhaWR1LmNvbS9hcnRpY2xlLzQxNGVjY2Y2NTc2ODg2NmI0MzFmMGExZC5odG1s&form=WSBSTK&cvid=13d497df05654e2387a9d298f8b7ab76&rtk=6bva4Uz3sMBstJ1lrt1d6YxSTrEIQ2CksNEO4Wk3MxjHUqL5I6m4qWKkKOzvn%2BfK - 个人 - Microsoft​ Edge","2022-12-20T23:14:00.0000000","2022-12-20T23:14:05.0000000","0:00:05","Microsoft Edge"
"win10的开机启动目录（文件夹）位置！-百度经验 - 个人 - Microsoft​ Edge","2022-12-20T23:14:05.0000000","2022-12-20T23:14:16.0000000","0:00:11","Microsoft Edge"
"win10的开机启动目录（文件夹）位置！_电脑软件-百度经验 - 个人 - Microsoft​ Edge","2022-12-20T23:14:16.0000000","2022-12-20T23:14:33.0000000","0:00:17","Microsoft Edge"
"win10的开机启动目录（文件夹）位置！-百度经验 - 个人 - Microsoft​ Edge","2022-12-20T23:14:33.0000000","2022-12-20T23:14:42.0000000","0:00:09","Microsoft Edge"
"搜索","2022-12-20T23:14:42.0000000","2022-12-20T23:14:48.0000000","0:00:06","Microsoft® Windows® Operating System"
"设置","2022-12-20T23:14:48.0000000","2022-12-20T23:15:39.0000000","0:00:51","设置"
"win10的开机启动目录（文件夹）位置！-百度经验 - 个人 - Microsoft​ Edge","2022-12-20T23:15:39.0000000","2022-12-20T23:15:44.0000000","0:00:05","Microsoft Edge"
